N Nodes      Vertices     Edges      Attemps         Operations      Time          Dominant Set
39           39           555        3555            19              0.0482        {(7, 17), (6, 33), (29, 32), (14, 28), (21, 37), (1, 15), (10, 36), (20, 25), (12, 24), (22, 31), (4, 38), (13, 16), (2, 19), (8, 35), (18, 30), (3, 23), (0, 9), (5, 26), (11, 27)}
40           40           97         530             17              0.0026        {(15, 34), (24, 27), (13, 33), (12, 17), (0, 16), (2, 36), (32, 39), (11, 38), (9, 31), (8, 19), (1, 7), (20, 29), (3, 6), (18, 21), (4, 30), (22, 28), (10, 25)}
40           40           195        1115            17              0.0079        {(15, 34), (13, 33), (9, 32), (36, 39), (7, 10), (1, 24), (0, 27), (8, 23), (14, 26), (2, 35), (17, 18), (11, 21), (31, 38), (6, 29), (16, 37), (4, 30), (22, 28)}
40           40           390        2448            18              0.0263        {(7, 33), (20, 30), (25, 38), (21, 32), (29, 39), (13, 16), (2, 11), (1, 27), (14, 15), (9, 34), (22, 26), (12, 28), (4, 8), (3, 6), (0, 17), (23, 24), (36, 37), (10, 31)}
40           40           585        3861            20              0.0538        {(7, 17), (26, 30), (25, 38), (20, 32), (12, 28), (11, 14), (33, 35), (16, 37), (3, 15), (23, 24), (4, 29), (1, 5), (2, 13), (27, 36), (6, 34), (31, 39), (9, 18), (0, 21), (10, 19), (8, 22)}
41           41           102        597             19              0.0030        {(21, 25), (20, 29), (12, 37), (4, 30), (10, 18), (1, 24), (11, 38), (2, 35), (13, 32), (3, 6), (22, 28), (17, 23), (0, 16), (9, 31), (27, 36), (33, 40), (15, 34), (7, 39), (8, 19)}
41           41           205        1230            18              0.0089        {(13, 30), (9, 39), (0, 23), (15, 34), (22, 27), (10, 14), (6, 40), (4, 38), (1, 24), (31, 36), (5, 17), (2, 35), (7, 32), (8, 19), (26, 29), (18, 21), (16, 37), (11, 33)}
41           41           410        2620            18              0.0288        {(23, 33), (31, 34), (2, 36), (13, 20), (4, 38), (1, 24), (32, 39), (0, 3), (10, 27), (21, 22), (6, 17), (19, 26), (28, 30), (8, 18), (9, 11), (16, 37), (14, 15), (29, 40)}
41           41           615        4105            20              0.0584        {(11, 36), (7, 23), (20, 29), (8, 12), (3, 40), (28, 33), (10, 27), (24, 32), (26, 38), (4, 17), (14, 15), (1, 5), (9, 25), (2, 19), (0, 31), (13, 22), (18, 21), (16, 39), (6, 34), (30, 37)}
42           42           107        679             19              0.0035        {(1, 40), (12, 22), (31, 38), (4, 30), (10, 33), (7, 16), (11, 32), (2, 35), (3, 9), (21, 24), (6, 29), (14, 15), (17, 23), (8, 26), (27, 36), (13, 28), (0, 37), (18, 39), (34, 41)}
42           42           215        1304            20              0.0096        {(24, 27), (7, 23), (0, 39), (16, 35), (25, 41), (12, 34), (14, 31), (4, 30), (11, 32), (6, 20), (1, 36), (15, 29), (18, 37), (22, 28), (9, 10), (8, 38), (33, 40), (3, 17), (5, 26), (13, 21)}
42           42           430        2856            20              0.0319        {(13, 27), (10, 40), (1, 34), (16, 32), (18, 29), (6, 33), (14, 31), (0, 20), (17, 39), (9, 38), (25, 28), (2, 35), (11, 41), (4, 8), (21, 30), (3, 24), (22, 37), (23, 36), (15, 19), (5, 26)}
42           42           645        4428            20              0.0640        {(15, 30), (2, 36), (7, 26), (20, 32), (23, 34), (1, 21), (19, 39), (14, 24), (10, 11), (4, 29), (9, 25), (6, 22), (13, 40), (5, 8), (31, 33), (12, 35), (0, 18), (3, 41), (27, 38), (16, 17)}
43           43           112        650             17              0.0033        {(21, 36), (12, 17), (2, 33), (6, 40), (13, 42), (7, 39), (11, 38), (4, 25), (8, 19), (9, 18), (27, 32), (3, 22), (16, 24), (30, 31), (0, 37), (14, 15), (10, 41)}
43           43           225        1318            19              0.0099        {(13, 33), (21, 25), (20, 29), (37, 42), (9, 38), (32, 39), (10, 36), (2, 35), (3, 6), (12, 18), (19, 23), (27, 30), (1, 26), (8, 41), (11, 40), (7, 24), (5, 17), (4, 31), (0, 15)}
43           43           451        3012            20              0.0339        {(1, 28), (13, 42), (15, 33), (16, 38), (4, 18), (40, 41), (5, 19), (9, 11), (21, 37), (14, 31), (0, 17), (30, 36), (10, 27), (2, 32), (26, 35), (3, 6), (8, 29), (7, 24), (12, 23), (20, 39)}
43           43           677        4809            21              0.0711        {(16, 20), (15, 30), (2, 36), (0, 5), (40, 41), (8, 18), (4, 39), (13, 17), (1, 24), (33, 38), (25, 34), (6, 29), (21, 27), (14, 42), (9, 31), (10, 35), (26, 37), (12, 23), (3, 32), (19, 22), (7, 11)}
44           44           118        734             18              0.0038        {(31, 34), (7, 33), (15, 40), (17, 23), (1, 24), (12, 37), (11, 38), (27, 36), (10, 16), (13, 32), (39, 42), (9, 18), (29, 41), (25, 43), (2, 28), (3, 6), (0, 14), (4, 30)}
44           44           236        1449            20              0.0111        {(33, 36), (15, 30), (21, 25), (29, 41), (12, 34), (23, 40), (0, 14), (37, 42), (10, 27), (1, 24), (8, 39), (13, 32), (3, 6), (20, 22), (4, 38), (19, 26), (7, 9), (16, 18), (11, 43), (28, 31)}
44           44           473        3310            21              0.0381        {(6, 12), (18, 23), (25, 38), (15, 27), (24, 36), (39, 42), (17, 33), (11, 29), (1, 30), (4, 8), (7, 40), (20, 37), (31, 34), (19, 26), (13, 16), (2, 22), (10, 41), (3, 14), (21, 32), (0, 9), (28, 43)}
44           44           709        5129            21              0.0772        {(18, 35), (31, 32), (40, 41), (23, 37), (4, 27), (11, 14), (17, 33), (0, 26), (3, 43), (21, 36), (1, 2), (12, 42), (13, 16), (9, 25), (15, 22), (10, 38), (7, 30), (20, 24), (6, 34), (29, 39), (8, 19)}
45           45           123        800             19              0.0041        {(11, 42), (24, 27), (2, 36), (20, 29), (3, 22), (31, 38), (12, 34), (10, 18), (7, 16), (1, 30), (32, 39), (0, 44), (15, 41), (9, 13), (33, 40), (6, 43), (5, 17), (4, 25), (8, 37)}
45           45           247        1645            22              0.0126        {(0, 30), (6, 18), (24, 27), (39, 42), (23, 31), (29, 41), (3, 22), (2, 8), (32, 36), (26, 35), (25, 43), (20, 28), (16, 37), (14, 15), (7, 9), (33, 40), (1, 38), (4, 13), (5, 17), (34, 44), (11, 21), (10, 19)}
45           45           495        3515            21              0.0411        {(13, 42), (12, 28), (2, 11), (9, 20), (0, 23), (8, 27), (30, 36), (10, 39), (24, 44), (3, 18), (29, 40), (31, 34), (4, 32), (17, 35), (16, 21), (33, 37), (7, 15), (1, 38), (6, 43), (14, 26), (5, 41)}
45           45           742        5534            21              0.0855        {(9, 39), (25, 29), (13, 27), (7, 17), (26, 42), (16, 41), (14, 19), (23, 31), (4, 30), (11, 32), (10, 36), (24, 35), (1, 33), (15, 38), (5, 12), (20, 40), (8, 44), (18, 21), (0, 37), (2, 3), (28, 43)}
46           46           129        807             20              0.0042        {(2, 36), (1, 40), (15, 42), (5, 13), (21, 25), (29, 41), (3, 22), (39, 45), (14, 31), (4, 30), (11, 32), (0, 38), (24, 34), (7, 33), (6, 43), (10, 16), (9, 18), (19, 28), (8, 37), (27, 44)}
46           46           258        1688            20              0.0133        {(24, 30), (33, 36), (1, 40), (15, 42), (29, 32), (18, 44), (21, 37), (12, 34), (14, 31), (4, 39), (6, 11), (10, 27), (7, 16), (2, 35), (25, 43), (13, 41), (20, 22), (19, 26), (38, 45), (0, 9)}
